24小時價格變化最大的前20個交易對：
========================================================================================================================
交易對                  最大漲幅%                      漲幅時間      最大跌幅%                      跌幅時間
------------------------------------------------------------------------------------------------------------------------
PNUTUSDT            461.41       2024-11-14T08:35:00     -33.19       2024-11-15T09:15:00
DRIFTUSDT           124.56       2024-11-09T12:45:00     -27.10       2024-12-10T05:00:00
MOODENGUSDT         109.34       2024-12-03T16:45:00     -30.03       2024-12-10T05:00:00
TROYUSDT            104.77       2024-11-22T10:15:00     -33.71       2024-11-23T14:45:00
MOCAUSDT             91.51       2024-12-21T08:05:00     -31.25       2024-12-17T20:15:00
SCRTUSDT             84.20       2024-11-23T00:40:00     -26.80       2024-12-10T05:00:00
1000CATUSDT          79.65       2024-11-14T17:25:00     -36.31       2024-12-18T16:00:00
MOVEUSDT             74.73       2024-12-10T12:00:00     -38.38       2024-12-11T12:00:00
FARTCOINUSDT         71.43       2024-12-25T11:10:00     -31.38       2024-12-22T03:45:00
ACTUSDT              69.31       2024-11-30T00:10:00     -28.63       2024-12-01T12:40:00
MORPHOUSDT           67.25       2024-12-06T09:05:00     -31.51       2024-11-29T02:20:00
COWUSDT              65.41       2024-12-16T03:40:00     -28.52       2024-12-10T05:00:00
SWELLUSDT            62.35       2024-11-14T13:10:00     -38.94       2024-11-15T12:40:00
DIAUSDT              61.01       2024-10-18T00:05:00     -24.95       2024-10-03T09:50:00
1000CHEEMSUSDT       60.28       2024-12-04T16:15:00     -23.37       2024-11-27T12:00:00
USUALUSDT            57.66       2024-12-19T20:25:00     -27.41       2024-12-22T13:10:00
MEUSDT               57.11       2024-12-11T09:55:00     -28.74       2024-12-12T09:55:00
1000000MOGUSDT       56.87       2024-12-07T04:15:00     -22.79       2024-12-20T19:55:00
THEUSDT              55.81       2024-11-28T01:15:00     -35.60       2024-12-10T05:00:00
1000XUSDT            55.28       2024-12-09T00:05:00     -38.39       2024-12-10T05:00:00
